Original Image Path,Label,Original Subset,Subset,Image Path
marvel/train/captain america/pic_090.jpg,captain america,train,train,dataset/train/captain america/pic_090.jpg
marvel/train/doctor strange/pic_207.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_207.jpg
marvel/train/doctor strange/pic_043.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_043.jpg
marvel/train/hulk/pic_282.jpg,hulk,train,train,dataset/train/hulk/pic_282.jpg
marvel/train/loki/pic_395.jpg,loki,train,train,dataset/train/loki/pic_395.jpg
marvel/train/doctor strange/pic_090.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_090.jpg
marvel/train/black widow/pic_016.jpg,black widow,train,train,dataset/train/black widow/pic_016.jpg
marvel/train/ironman/pic_261.jpg,ironman,train,train,dataset/train/ironman/pic_261.jpg
marvel/train/thanos/pic_247.jpg,thanos,train,train,dataset/train/thanos/pic_247.jpg
marvel/train/spider-man/pic_100.jpg,spider-man,train,train,dataset/train/spider-man/pic_100.jpg
marvel/train/hulk/pic_234.jpg,hulk,train,train,dataset/train/hulk/pic_234.jpg
marvel/train/black widow/pic_220.jpg,black widow,train,train,dataset/train/black widow/pic_220.jpg
marvel/train/doctor strange/pic_104.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_104.jpg
marvel/train/captain america/pic_207.jpg,captain america,train,train,dataset/train/captain america/pic_207.jpg
marvel/train/hulk/pic_322.jpg,hulk,train,train,dataset/train/hulk/pic_322.jpg
marvel/train/ironman/pic_087.jpg,ironman,train,train,dataset/train/ironman/pic_087.jpg
marvel/train/spider-man/pic_006.jpg,spider-man,train,train,dataset/train/spider-man/pic_006.jpg
marvel/train/spider-man/pic_255.jpg,spider-man,train,train,dataset/train/spider-man/pic_255.jpg
marvel/train/captain america/pic_004.jpg,captain america,train,train,dataset/train/captain america/pic_004.jpg
marvel/train/doctor strange/pic_396.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_396.jpg
marvel/train/loki/pic_176.jpg,loki,train,train,dataset/train/loki/pic_176.jpg
marvel/train/captain america/pic_003.jpg,captain america,train,train,dataset/train/captain america/pic_003.jpg
marvel/train/spider-man/pic_279.jpg,spider-man,train,train,dataset/train/spider-man/pic_279.jpg
marvel/train/hulk/pic_332.jpg,hulk,train,train,dataset/train/hulk/pic_332.jpg
marvel/train/captain america/pic_165.jpg,captain america,train,train,dataset/train/captain america/pic_165.jpg
marvel/train/captain america/pic_048.jpg,captain america,train,train,dataset/train/captain america/pic_048.jpg
marvel/train/captain america/pic_292.jpg,captain america,train,train,dataset/train/captain america/pic_292.jpg
marvel/train/loki/pic_181.jpg,loki,train,train,dataset/train/loki/pic_181.jpg
marvel/train/hulk/pic_021.jpg,hulk,train,train,dataset/train/hulk/pic_021.jpg
marvel/train/black widow/pic_224.jpg,black widow,train,train,dataset/train/black widow/pic_224.jpg
marvel/train/thanos/pic_385.jpg,thanos,train,train,dataset/train/thanos/pic_385.jpg
marvel/train/thanos/pic_225.jpg,thanos,train,train,dataset/train/thanos/pic_225.jpg
marvel/train/thanos/pic_343.jpg,thanos,train,train,dataset/train/thanos/pic_343.jpg
marvel/train/captain america/pic_299.jpg,captain america,train,train,dataset/train/captain america/pic_299.jpg
marvel/train/hulk/pic_023.jpg,hulk,train,train,dataset/train/hulk/pic_023.jpg
marvel/train/hulk/pic_058.jpg,hulk,train,train,dataset/train/hulk/pic_058.jpg
marvel/train/thanos/pic_100.jpg,thanos,train,train,dataset/train/thanos/pic_100.jpg
marvel/train/captain america/pic_144.jpg,captain america,train,train,dataset/train/captain america/pic_144.jpg
marvel/train/doctor strange/pic_007.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_007.jpg
marvel/train/doctor strange/pic_307.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_307.jpg
marvel/train/hulk/pic_196.jpg,hulk,train,train,dataset/train/hulk/pic_196.jpg
marvel/train/loki/pic_357.jpg,loki,train,train,dataset/train/loki/pic_357.jpg
marvel/train/doctor strange/pic_286.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_286.jpg
marvel/train/thanos/pic_281.jpg,thanos,train,train,dataset/train/thanos/pic_281.jpg
marvel/train/spider-man/pic_016.jpg,spider-man,train,train,dataset/train/spider-man/pic_016.jpg
marvel/train/thanos/pic_208.jpg,thanos,train,train,dataset/train/thanos/pic_208.jpg
marvel/train/captain america/pic_142.jpg,captain america,train,train,dataset/train/captain america/pic_142.jpg
marvel/train/spider-man/pic_040.jpg,spider-man,train,train,dataset/train/spider-man/pic_040.jpg
marvel/train/doctor strange/pic_191.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_191.jpg
marvel/train/spider-man/pic_159.jpg,spider-man,train,train,dataset/train/spider-man/pic_159.jpg
marvel/train/doctor strange/pic_168.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_168.jpg
marvel/train/thanos/pic_293.jpg,thanos,train,train,dataset/train/thanos/pic_293.jpg
marvel/train/spider-man/pic_235.jpg,spider-man,train,train,dataset/train/spider-man/pic_235.jpg
marvel/train/loki/pic_217.jpg,loki,train,train,dataset/train/loki/pic_217.jpg
marvel/train/black widow/pic_123.jpg,black widow,train,train,dataset/train/black widow/pic_123.jpg
marvel/train/hulk/pic_135.jpg,hulk,train,train,dataset/train/hulk/pic_135.jpg
marvel/train/thanos/pic_152.jpg,thanos,train,train,dataset/train/thanos/pic_152.jpg
marvel/train/spider-man/pic_220.jpg,spider-man,train,train,dataset/train/spider-man/pic_220.jpg
marvel/train/doctor strange/pic_065.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_065.jpg
marvel/train/captain america/pic_094.jpg,captain america,train,train,dataset/train/captain america/pic_094.jpg
marvel/train/thanos/pic_358.jpg,thanos,train,train,dataset/train/thanos/pic_358.jpg
marvel/train/spider-man/pic_033.jpg,spider-man,train,train,dataset/train/spider-man/pic_033.jpg
marvel/train/black widow/pic_142.jpg,black widow,train,train,dataset/train/black widow/pic_142.jpg
marvel/train/hulk/pic_220.jpg,hulk,train,train,dataset/train/hulk/pic_220.jpg
marvel/train/loki/pic_107.jpg,loki,train,train,dataset/train/loki/pic_107.jpg
marvel/train/captain america/pic_033.jpg,captain america,train,train,dataset/train/captain america/pic_033.jpg
marvel/train/thanos/pic_099.jpg,thanos,train,train,dataset/train/thanos/pic_099.jpg
marvel/train/doctor strange/pic_277.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_277.jpg
marvel/train/hulk/pic_007.jpg,hulk,train,train,dataset/train/hulk/pic_007.jpg
marvel/train/captain america/pic_171.jpg,captain america,train,train,dataset/train/captain america/pic_171.jpg
marvel/train/captain america/pic_118.jpg,captain america,train,train,dataset/train/captain america/pic_118.jpg
marvel/train/hulk/pic_159.jpg,hulk,train,train,dataset/train/hulk/pic_159.jpg
marvel/train/hulk/pic_092.jpg,hulk,train,train,dataset/train/hulk/pic_092.jpg
marvel/train/loki/pic_343.jpg,loki,train,train,dataset/train/loki/pic_343.jpg
marvel/train/loki/pic_025.jpg,loki,train,train,dataset/train/loki/pic_025.jpg
marvel/train/black widow/pic_168.jpg,black widow,train,train,dataset/train/black widow/pic_168.jpg
marvel/train/loki/pic_375.jpg,loki,train,train,dataset/train/loki/pic_375.jpg
marvel/train/black widow/pic_262.jpg,black widow,train,train,dataset/train/black widow/pic_262.jpg
marvel/train/thanos/pic_251.jpg,thanos,train,train,dataset/train/thanos/pic_251.jpg
marvel/train/captain america/pic_173.jpg,captain america,train,train,dataset/train/captain america/pic_173.jpg
marvel/train/doctor strange/pic_171.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_171.jpg
marvel/train/ironman/pic_246.jpg,ironman,train,train,dataset/train/ironman/pic_246.jpg
marvel/train/ironman/pic_383.jpg,ironman,train,train,dataset/train/ironman/pic_383.jpg
marvel/train/loki/pic_335.jpg,loki,train,train,dataset/train/loki/pic_335.jpg
marvel/train/ironman/pic_062.jpg,ironman,train,train,dataset/train/ironman/pic_062.jpg
marvel/train/hulk/pic_246.jpg,hulk,train,train,dataset/train/hulk/pic_246.jpg
marvel/train/thanos/pic_079.jpg,thanos,train,train,dataset/train/thanos/pic_079.jpg
marvel/train/thanos/pic_328.jpg,thanos,train,train,dataset/train/thanos/pic_328.jpg
marvel/train/black widow/pic_079.jpg,black widow,train,train,dataset/train/black widow/pic_079.jpg
marvel/train/black widow/pic_199.jpg,black widow,train,train,dataset/train/black widow/pic_199.jpg
marvel/train/loki/pic_133.jpg,loki,train,train,dataset/train/loki/pic_133.jpg
marvel/train/doctor strange/pic_252.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_252.jpg
marvel/train/spider-man/pic_065.jpg,spider-man,train,train,dataset/train/spider-man/pic_065.jpg
marvel/train/loki/pic_316.jpg,loki,train,train,dataset/train/loki/pic_316.jpg
marvel/train/captain america/pic_184.jpg,captain america,train,train,dataset/train/captain america/pic_184.jpg
marvel/train/hulk/pic_377.jpg,hulk,train,train,dataset/train/hulk/pic_377.jpg
marvel/train/loki/pic_158.jpg,loki,train,train,dataset/train/loki/pic_158.jpg
marvel/train/ironman/pic_189.jpg,ironman,train,train,dataset/train/ironman/pic_189.jpg
marvel/train/thanos/pic_176.jpg,thanos,train,train,dataset/train/thanos/pic_176.jpg
marvel/train/loki/pic_106.jpg,loki,train,train,dataset/train/loki/pic_106.jpg
marvel/train/ironman/pic_153.jpg,ironman,train,train,dataset/train/ironman/pic_153.jpg
marvel/train/doctor strange/pic_131.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_131.jpg
marvel/train/black widow/pic_208.jpg,black widow,train,train,dataset/train/black widow/pic_208.jpg
marvel/train/captain america/pic_027.jpg,captain america,train,train,dataset/train/captain america/pic_027.jpg
marvel/train/loki/pic_392.jpg,loki,train,train,dataset/train/loki/pic_392.jpg
marvel/train/spider-man/pic_250.jpg,spider-man,train,train,dataset/train/spider-man/pic_250.jpg
marvel/train/hulk/pic_384.jpg,hulk,train,train,dataset/train/hulk/pic_384.jpg
marvel/train/hulk/pic_243.jpg,hulk,train,train,dataset/train/hulk/pic_243.jpg
marvel/train/loki/pic_384.jpg,loki,train,train,dataset/train/loki/pic_384.jpg
marvel/train/thanos/pic_011.jpg,thanos,train,train,dataset/train/thanos/pic_011.jpg
marvel/train/hulk/pic_078.jpg,hulk,train,train,dataset/train/hulk/pic_078.jpg
marvel/train/ironman/pic_263.jpg,ironman,train,train,dataset/train/ironman/pic_263.jpg
marvel/train/thanos/pic_061.jpg,thanos,train,train,dataset/train/thanos/pic_061.jpg
marvel/train/hulk/pic_389.jpg,hulk,train,train,dataset/train/hulk/pic_389.jpg
marvel/train/thanos/pic_041.jpg,thanos,train,train,dataset/train/thanos/pic_041.jpg
marvel/train/thanos/pic_147.jpg,thanos,train,train,dataset/train/thanos/pic_147.jpg
marvel/train/doctor strange/pic_180.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_180.jpg
marvel/train/hulk/pic_281.jpg,hulk,train,train,dataset/train/hulk/pic_281.jpg
marvel/train/thanos/pic_344.jpg,thanos,train,train,dataset/train/thanos/pic_344.jpg
marvel/train/spider-man/pic_108.jpg,spider-man,train,train,dataset/train/spider-man/pic_108.jpg
marvel/train/doctor strange/pic_053.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_053.jpg
marvel/train/thanos/pic_095.jpg,thanos,train,train,dataset/train/thanos/pic_095.jpg
marvel/train/hulk/pic_117.jpg,hulk,train,train,dataset/train/hulk/pic_117.jpg
marvel/train/thanos/pic_276.jpg,thanos,train,train,dataset/train/thanos/pic_276.jpg
marvel/train/doctor strange/pic_034.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_034.jpg
marvel/train/spider-man/pic_138.jpg,spider-man,train,train,dataset/train/spider-man/pic_138.jpg
marvel/train/loki/pic_012.jpg,loki,train,train,dataset/train/loki/pic_012.jpg
marvel/train/spider-man/pic_342.jpg,spider-man,train,train,dataset/train/spider-man/pic_342.jpg
marvel/train/captain america/pic_226.jpg,captain america,train,train,dataset/train/captain america/pic_226.jpg
marvel/train/spider-man/pic_241.jpg,spider-man,train,train,dataset/train/spider-man/pic_241.jpg
marvel/train/loki/pic_322.jpg,loki,train,train,dataset/train/loki/pic_322.jpg
marvel/train/loki/pic_116.jpg,loki,train,train,dataset/train/loki/pic_116.jpg
marvel/train/thanos/pic_118.jpg,thanos,train,train,dataset/train/thanos/pic_118.jpg
marvel/train/ironman/pic_264.jpg,ironman,train,train,dataset/train/ironman/pic_264.jpg
marvel/train/loki/pic_146.jpg,loki,train,train,dataset/train/loki/pic_146.jpg
marvel/train/spider-man/pic_388.jpg,spider-man,train,train,dataset/train/spider-man/pic_388.jpg
marvel/train/spider-man/pic_258.jpg,spider-man,train,train,dataset/train/spider-man/pic_258.jpg
marvel/train/black widow/pic_007.jpg,black widow,train,train,dataset/train/black widow/pic_007.jpg
marvel/train/loki/pic_297.jpg,loki,train,train,dataset/train/loki/pic_297.jpg
marvel/train/thanos/pic_342.jpg,thanos,train,train,dataset/train/thanos/pic_342.jpg
marvel/train/spider-man/pic_231.jpg,spider-man,train,train,dataset/train/spider-man/pic_231.jpg
marvel/train/hulk/pic_107.jpg,hulk,train,train,dataset/train/hulk/pic_107.jpg
marvel/train/hulk/pic_059.jpg,hulk,train,train,dataset/train/hulk/pic_059.jpg
marvel/train/captain america/pic_146.jpg,captain america,train,train,dataset/train/captain america/pic_146.jpg
marvel/train/captain america/pic_052.jpg,captain america,train,train,dataset/train/captain america/pic_052.jpg
marvel/train/ironman/pic_339.jpg,ironman,train,train,dataset/train/ironman/pic_339.jpg
marvel/train/doctor strange/pic_059.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_059.jpg
marvel/train/spider-man/pic_037.jpg,spider-man,train,train,dataset/train/spider-man/pic_037.jpg
marvel/train/loki/pic_391.jpg,loki,train,train,dataset/train/loki/pic_391.jpg
marvel/train/hulk/pic_098.jpg,hulk,train,train,dataset/train/hulk/pic_098.jpg
marvel/train/hulk/pic_202.jpg,hulk,train,train,dataset/train/hulk/pic_202.jpg
marvel/train/black widow/pic_200.jpg,black widow,train,train,dataset/train/black widow/pic_200.jpg
marvel/train/spider-man/pic_194.jpg,spider-man,train,train,dataset/train/spider-man/pic_194.jpg
marvel/train/thanos/pic_386.jpg,thanos,train,train,dataset/train/thanos/pic_386.jpg
marvel/train/ironman/pic_249.jpg,ironman,train,train,dataset/train/ironman/pic_249.jpg
marvel/train/black widow/pic_170.jpg,black widow,train,train,dataset/train/black widow/pic_170.jpg
marvel/train/doctor strange/pic_080.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_080.jpg
marvel/train/captain america/pic_335.jpg,captain america,train,train,dataset/train/captain america/pic_335.jpg
marvel/train/black widow/pic_107.jpg,black widow,train,train,dataset/train/black widow/pic_107.jpg
marvel/train/black widow/pic_317.jpg,black widow,train,train,dataset/train/black widow/pic_317.jpg
marvel/train/loki/pic_020.jpg,loki,train,train,dataset/train/loki/pic_020.jpg
marvel/train/thanos/pic_262.jpg,thanos,train,train,dataset/train/thanos/pic_262.jpg
marvel/train/hulk/pic_158.jpg,hulk,train,train,dataset/train/hulk/pic_158.jpg
marvel/train/thanos/pic_378.jpg,thanos,train,train,dataset/train/thanos/pic_378.jpg
marvel/train/loki/pic_283.jpg,loki,train,train,dataset/train/loki/pic_283.jpg
marvel/train/hulk/pic_001.jpg,hulk,train,train,dataset/train/hulk/pic_001.jpg
marvel/train/spider-man/pic_102.jpg,spider-man,train,train,dataset/train/spider-man/pic_102.jpg
marvel/train/doctor strange/pic_121.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_121.jpg
marvel/train/ironman/pic_039.jpg,ironman,train,train,dataset/train/ironman/pic_039.jpg
marvel/train/thanos/pic_205.jpg,thanos,train,train,dataset/train/thanos/pic_205.jpg
marvel/train/black widow/pic_310.jpg,black widow,train,train,dataset/train/black widow/pic_310.jpg
marvel/train/spider-man/pic_106.jpg,spider-man,train,train,dataset/train/spider-man/pic_106.jpg
marvel/train/black widow/pic_359.jpg,black widow,train,train,dataset/train/black widow/pic_359.jpg
marvel/train/ironman/pic_089.jpg,ironman,train,train,dataset/train/ironman/pic_089.jpg
marvel/train/hulk/pic_154.jpg,hulk,train,train,dataset/train/hulk/pic_154.jpg
marvel/train/hulk/pic_290.jpg,hulk,train,train,dataset/train/hulk/pic_290.jpg
marvel/train/hulk/pic_076.jpg,hulk,train,train,dataset/train/hulk/pic_076.jpg
marvel/train/doctor strange/pic_010.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_010.jpg
marvel/train/doctor strange/pic_162.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_162.jpg
marvel/train/thanos/pic_146.jpg,thanos,train,train,dataset/train/thanos/pic_146.jpg
marvel/train/loki/pic_171.jpg,loki,train,train,dataset/train/loki/pic_171.jpg
marvel/train/ironman/pic_315.jpg,ironman,train,train,dataset/train/ironman/pic_315.jpg
marvel/train/black widow/pic_120.jpg,black widow,train,train,dataset/train/black widow/pic_120.jpg
marvel/train/ironman/pic_105.jpg,ironman,train,train,dataset/train/ironman/pic_105.jpg
marvel/train/loki/pic_280.jpg,loki,train,train,dataset/train/loki/pic_280.jpg
marvel/train/spider-man/pic_386.jpg,spider-man,train,train,dataset/train/spider-man/pic_386.jpg
marvel/train/loki/pic_201.jpg,loki,train,train,dataset/train/loki/pic_201.jpg
marvel/train/thanos/pic_155.jpg,thanos,train,train,dataset/train/thanos/pic_155.jpg
marvel/train/loki/pic_108.jpg,loki,train,train,dataset/train/loki/pic_108.jpg
marvel/train/ironman/pic_397.jpg,ironman,train,train,dataset/train/ironman/pic_397.jpg
marvel/train/black widow/pic_272.jpg,black widow,train,train,dataset/train/black widow/pic_272.jpg
marvel/train/hulk/pic_046.jpg,hulk,train,train,dataset/train/hulk/pic_046.jpg
marvel/train/ironman/pic_001.jpg,ironman,train,train,dataset/train/ironman/pic_001.jpg
marvel/train/loki/pic_067.jpg,loki,train,train,dataset/train/loki/pic_067.jpg
marvel/train/black widow/pic_394.jpg,black widow,train,train,dataset/train/black widow/pic_394.jpg
marvel/train/hulk/pic_179.jpg,hulk,train,train,dataset/train/hulk/pic_179.jpg
marvel/train/black widow/pic_066.jpg,black widow,train,train,dataset/train/black widow/pic_066.jpg
marvel/train/ironman/pic_291.jpg,ironman,train,train,dataset/train/ironman/pic_291.jpg
marvel/train/ironman/pic_368.jpg,ironman,train,train,dataset/train/ironman/pic_368.jpg
marvel/train/hulk/pic_132.jpg,hulk,train,train,dataset/train/hulk/pic_132.jpg
marvel/train/captain america/pic_216.jpg,captain america,train,train,dataset/train/captain america/pic_216.jpg
marvel/train/ironman/pic_222.jpg,ironman,train,train,dataset/train/ironman/pic_222.jpg
marvel/train/hulk/pic_355.jpg,hulk,train,train,dataset/train/hulk/pic_355.jpg
marvel/train/loki/pic_100.jpg,loki,train,train,dataset/train/loki/pic_100.jpg
marvel/train/doctor strange/pic_203.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_203.jpg
marvel/train/hulk/pic_070.jpg,hulk,train,train,dataset/train/hulk/pic_070.jpg
marvel/train/spider-man/pic_298.jpg,spider-man,train,train,dataset/train/spider-man/pic_298.jpg
marvel/train/hulk/pic_087.jpg,hulk,train,train,dataset/train/hulk/pic_087.jpg
marvel/train/spider-man/pic_056.jpg,spider-man,train,train,dataset/train/spider-man/pic_056.jpg
marvel/train/hulk/pic_343.jpg,hulk,train,train,dataset/train/hulk/pic_343.jpg
marvel/train/black widow/pic_226.jpg,black widow,train,train,dataset/train/black widow/pic_226.jpg
marvel/train/hulk/pic_173.jpg,hulk,train,train,dataset/train/hulk/pic_173.jpg
marvel/train/captain america/pic_346.jpg,captain america,train,train,dataset/train/captain america/pic_346.jpg
marvel/train/black widow/pic_070.jpg,black widow,train,train,dataset/train/black widow/pic_070.jpg
marvel/train/thanos/pic_253.jpg,thanos,train,train,dataset/train/thanos/pic_253.jpg
marvel/train/spider-man/pic_317.jpg,spider-man,train,train,dataset/train/spider-man/pic_317.jpg
marvel/train/black widow/pic_286.jpg,black widow,train,train,dataset/train/black widow/pic_286.jpg
marvel/train/ironman/pic_167.jpg,ironman,train,train,dataset/train/ironman/pic_167.jpg
marvel/train/hulk/pic_364.jpg,hulk,train,train,dataset/train/hulk/pic_364.jpg
marvel/train/captain america/pic_169.jpg,captain america,train,train,dataset/train/captain america/pic_169.jpg
marvel/train/ironman/pic_341.jpg,ironman,train,train,dataset/train/ironman/pic_341.jpg
marvel/train/doctor strange/pic_329.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_329.jpg
marvel/train/doctor strange/pic_315.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_315.jpg
marvel/train/black widow/pic_134.jpg,black widow,train,train,dataset/train/black widow/pic_134.jpg
marvel/train/spider-man/pic_064.jpg,spider-man,train,train,dataset/train/spider-man/pic_064.jpg
marvel/train/captain america/pic_337.jpg,captain america,train,train,dataset/train/captain america/pic_337.jpg
marvel/train/thanos/pic_294.jpg,thanos,train,train,dataset/train/thanos/pic_294.jpg
marvel/train/doctor strange/pic_297.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_297.jpg
marvel/train/doctor strange/pic_063.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_063.jpg
marvel/train/loki/pic_119.jpg,loki,train,train,dataset/train/loki/pic_119.jpg
marvel/train/spider-man/pic_143.jpg,spider-man,train,train,dataset/train/spider-man/pic_143.jpg
marvel/train/loki/pic_313.jpg,loki,train,train,dataset/train/loki/pic_313.jpg
marvel/train/black widow/pic_386.jpg,black widow,train,train,dataset/train/black widow/pic_386.jpg
marvel/train/thanos/pic_347.jpg,thanos,train,train,dataset/train/thanos/pic_347.jpg
marvel/train/black widow/pic_063.jpg,black widow,train,train,dataset/train/black widow/pic_063.jpg
marvel/train/thanos/pic_250.jpg,thanos,train,train,dataset/train/thanos/pic_250.jpg
marvel/train/ironman/pic_204.jpg,ironman,train,train,dataset/train/ironman/pic_204.jpg
marvel/train/black widow/pic_078.jpg,black widow,train,train,dataset/train/black widow/pic_078.jpg
marvel/train/captain america/pic_276.jpg,captain america,train,train,dataset/train/captain america/pic_276.jpg
marvel/train/spider-man/pic_018.jpg,spider-man,train,train,dataset/train/spider-man/pic_018.jpg
marvel/train/captain america/pic_150.jpg,captain america,train,train,dataset/train/captain america/pic_150.jpg
marvel/train/hulk/pic_353.jpg,hulk,train,train,dataset/train/hulk/pic_353.jpg
marvel/train/loki/pic_282.jpg,loki,train,train,dataset/train/loki/pic_282.jpg
marvel/train/spider-man/pic_363.jpg,spider-man,train,train,dataset/train/spider-man/pic_363.jpg
marvel/train/captain america/pic_233.jpg,captain america,train,train,dataset/train/captain america/pic_233.jpg
marvel/train/captain america/pic_357.jpg,captain america,train,train,dataset/train/captain america/pic_357.jpg
marvel/train/hulk/pic_185.jpg,hulk,train,train,dataset/train/hulk/pic_185.jpg
marvel/train/loki/pic_240.jpg,loki,train,train,dataset/train/loki/pic_240.jpg
marvel/train/spider-man/pic_229.jpg,spider-man,train,train,dataset/train/spider-man/pic_229.jpg
marvel/train/thanos/pic_065.jpg,thanos,train,train,dataset/train/thanos/pic_065.jpg
marvel/train/hulk/pic_084.jpg,hulk,train,train,dataset/train/hulk/pic_084.jpg
marvel/train/loki/pic_011.jpg,loki,train,train,dataset/train/loki/pic_011.jpg
marvel/train/doctor strange/pic_237.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_237.jpg
marvel/train/spider-man/pic_234.jpg,spider-man,train,train,dataset/train/spider-man/pic_234.jpg
marvel/train/doctor strange/pic_269.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_269.jpg
marvel/train/captain america/pic_122.jpg,captain america,train,train,dataset/train/captain america/pic_122.jpg
marvel/train/doctor strange/pic_163.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_163.jpg
marvel/train/thanos/pic_059.jpg,thanos,train,train,dataset/train/thanos/pic_059.jpg
marvel/train/doctor strange/pic_401.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_401.jpg
marvel/train/thanos/pic_360.jpg,thanos,train,train,dataset/train/thanos/pic_360.jpg
marvel/train/doctor strange/pic_201.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_201.jpg
marvel/train/ironman/pic_332.jpg,ironman,train,train,dataset/train/ironman/pic_332.jpg
marvel/train/thanos/pic_090.jpg,thanos,train,train,dataset/train/thanos/pic_090.jpg
marvel/train/spider-man/pic_140.jpg,spider-man,train,train,dataset/train/spider-man/pic_140.jpg
marvel/train/doctor strange/pic_404.jpg,doctor strange,train,train,dataset/train/doctor strange/pic_404.jpg
